path,cells,dims_match,header_exact,byte_exact_full,diff_全部cell(含浮点),diff_pathing(去浮点),cosmetic_wall_void(边界浮点),cell_match%,pathing_match%,w2W,W2w,w2V,V2w,status
MAINMENUS\1X1SINGLE_ROOM_FROSTEDHILLS\MAINMENU_FROSTEDHILLS_PB.LAYOUT,2500,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_CONCAVE_N2W2\1X1_CONCAVE_N2W2_LM_A.LAYOUT,12600,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_CONCAVE_S1E1\1X1_CONCAVE_S1E1_LM_A.LAYOUT,15750,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_WALL_N2S2W0\1X1_WALL_N2S2W0_LM_A.LAYOUT,25000,False,False,False,,,,,,,,,,dim-mismatch
CATACOMB\1X1W\1X1_W_LM_A.LAYOUT,30200,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_WALL_N1S1E0\1X1_WALL_N1S1E0_LM_A.LAYOUT,31500,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_WALL_N0E2W2\1X1_WALL_N0E2W2_LM_A.LAYOUT,31626,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_WALL_S0E1W1\1X1_WALL_S0E1W1_LM_A.LAYOUT,31626,False,False,False,,,,,,,,,,dim-mismatch
ACT2_CAVES\1X1ENTRANCE_W\1X1_ENTRANCE_W_BB_A.LAYOUT,35000,False,False,False,,,,,,,,,,dim-mismatch
ACT2_CAVES\1X1NW\1X1_NW_BB_A.LAYOUT,35000,False,False,False,,,,,,,,,,dim-mismatch
ACT2_CAVES\1X1ENTRANCE_E\1X1_ENTRANCE_E_JT_A.LAYOUT,35175,False,False,False,,,,,,,,,,dim-mismatch
ESTHSHRINE\1X1ENTRANCE_W\1X1_ENTRANCE_W_PB_A.LAYOUT,33750,False,False,False,,,,,,,,,,dim-mismatch
CATACOMB\1X1NW\1X1_NW_PB_A.LAYOUT,35000,False,False,False,,,,,,,,,,dim-mismatch
ACT2_CAVES\1X1SE\1X1_SE_PB_A.LAYOUT,35200,False,False,False,,,,,,,,,,dim-mismatch
ACT2_PASS1\1X1SINGLE_ROOM_A\SEWERDUNGEON_BB_A.LAYOUT,35000,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_CONCAVE_S1E1_LANDMARK_GHOSTCART\1X1_CONCAVE_S1E1_LANDMARK_GHOSTCART_PB.LAYOUT,39600,False,False,False,,,,,,,,,,dim-mismatch
CATACOMB\1X1NE\1X1_NE_BB_A.LAYOUT,40200,False,False,False,,,,,,,,,,dim-mismatch
DRAGON_TOWER\1X1NS\1X1_NS_PB_B.LAYOUT,41525,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z1\1X1_WALL_N2S2W0_SPECIAL_SAWMILL\1X1_WALL_N2S2W0_SPECIAL_SAWMILL_BB_A.LAYOUT,43750,False,False,False,,,,,,,,,,dim-mismatch
ESTHSHRINE\1X1EXIT_E\1X1_EXIT_E_BB_A.LAYOUT,41676,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_ENTRANCE_N0E2W2\1X1_ENTRANCE_N0E2W2_BB_A.LAYOUT,44176,False,False,False,,,,,,,,,,dim-mismatch
ACT2_CAVES\1X1EXIT_E\1X1_EXIT_E_BB_A.LAYOUT,45200,False,False,False,,,,,,,,,,dim-mismatch
DRAGON_TOWER\1X1NS\1X1_NS_JT_A.LAYOUT,48125,False,False,False,,,,,,,,,,dim-mismatch
ACT2_CAVES\1X1ENTRANCE_W\1X1_ENTRANCE_W_JT_A.LAYOUT,50200,False,False,False,,,,,,,,,,dim-mismatch
MAINMENUS\1X1SINGLE_ROOM_TEMPLESTEPPES\MAINMENU_TEMPLESTEPPES_PB.LAYOUT,50250,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z2\1X1_ENTRANCE_N1S1E0\1X1_ENTRANCE_N1S1E0_JT_A.LAYOUT,50250,False,False,False,,,,,,,,,,dim-mismatch
ESTHSHRINE\1X1N\1X1_N_BB_A.LAYOUT,50250,False,False,False,,,,,,,,,,dim-mismatch
DRAGON\1X1NW\1X1_NW_JT_A.LAYOUT,50451,False,False,False,,,,,,,,,,dim-mismatch
GENERIC_CAVE\1X1SINGLE_ROOM_BOSS\RANDOMBOSSROOM_BB_A.LAYOUT,50850,False,False,False,,,,,,,,,,dim-mismatch
DRAGON_TOWER\1X1EW\1X1_EW_JT_A.LAYOUT,52976,False,False,False,,,,,,,,,,dim-mismatch
DRAGON_TOWER\1X1EW\1X1_EW_PB_A.LAYOUT,52976,False,False,False,,,,,,,,,,dim-mismatch
ESTHSHRINE\1X1EW\1X1_EW_BB_A.LAYOUT,52675,False,False,False,,,,,,,,,,dim-mismatch
CATACOMB\1X1S\1X1_S_PB_A.LAYOUT,55275,False,False,False,,,,,,,,,,dim-mismatch
PHASE_BEAST_ROOMS\ACT1Z1\PHASEBEAST_A1Z1_PB_A.LAYOUT,55275,False,False,False,,,,,,,,,,dim-mismatch
ESTHSHRINE\1X1ENTRANCE_E\1X1_ENTRANCE_E_JT_A.LAYOUT,55200,False,False,False,,,,,,,,,,dim-mismatch
NETHER\1X1NE\1X1_NE_BB_A.LAYOUT,55275,False,False,False,,,,,,,,,,dim-mismatch
ESTHSHRINE\1X1NS\1X1_NS_BB_A.LAYOUT,55275,False,False,False,,,,,,,,,,dim-mismatch
ACT2_Z2\1X1_CLIFF_CONCAVE_S2W1\1X1CLIFF_CONCAVE_S2W1_JT_A.LAYOUT,56475,False,False,False,,,,,,,,,,dim-mismatch
ESTHSHRINE\1X1NW\1X1_NW_JT_A.LAYOUT,55476,False,False,False,,,,,,,,,,dim-mismatch
ESTHSHRINE\1X1NE\1X1_NE_BB_A.LAYOUT,56475,False,False,False,,,,,,,,,,dim-mismatch
DRAGON\1X1SINGLE_ROOM_BOSS\1X1_MAPROOM_DRAGONBOSSROOM_D.LAYOUT,56500,False,False,False,,,,,,,,,,dim-mismatch
ACT3_Z1\1X1_ENTRANCE_N2S2W0\1X1_ENTRANCE_N2S2W0_LM_A.LAYOUT,56500,False,False,False,,,,,,,,,,dim-mismatch
DRAGON\1X1SINGLE_ROOM_BOSS\RANDOMBOSSROOM_JT_A.LAYOUT,56500,False,False,False,,,,,,,,,,dim-mismatch
NETHER\1X1EW\1X1_EW_PB_A.LAYOUT,56726,False,False,False,,,,,,,,,,dim-mismatch
VAULT\1X1SINGLE_ROOM_BOSS\GENIE_ARENA_JT.LAYOUT,56875,False,False,False,,,,,,,,,,dim-mismatch
DRAGON\1X1EW\1X1_EW_PB_A.LAYOUT,60200,False,False,False,,,,,,,,,,dim-mismatch
